Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2911","Pulses","2018","2018","1000 tonnes","16","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2911","Pulses","2018","2018","kg","1.86","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2911","Pulses","2018","2018","kcal/capita/day","17","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2911","Pulses","2018","2018","million kcal","54215","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2911","Pulses","2018","2018","g/capita/day","1.15","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2911","Pulses","2018","2018","g","3577","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2911","Pulses","2018","2018","g/capita/day","0.08","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2911","Pulses","2018","2018","g","257","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2912","Treenuts","2018","2018","1000 tonnes","3","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2912","Treenuts","2018","2018","1000 tonnes","39","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2912","Treenuts","2018","2018","1000 tonnes","2","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2912","Treenuts","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2912","Treenuts","2018","2018","1000 tonnes","39","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2912","Treenuts","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5154","Other uses (non-food)","S2912","Treenuts","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2912","Treenuts","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2912","Treenuts","2018","2018","1000 tonnes","38","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2912","Treenuts","2018","2018","kg","4.5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2912","Treenuts","2018","2018","kcal/capita/day","66","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2912","Treenuts","2018","2018","million kcal","206217","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2912","Treenuts","2018","2018","g/capita/day","1.72","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2912","Treenuts","2018","2018","g","5356","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2912","Treenuts","2018","2018","g/capita/day","6.02","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2912","Treenuts","2018","2018","g","18740","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2913","Oilcrops","2018","2018","1000 tonnes","99","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2913","Oilcrops","2018","2018","1000 tonnes","62","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2913","Oilcrops","2018","2018","1000 tonnes","1","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2913","Oilcrops","2018","2018","1000 tonnes","2","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2913","Oilcrops","2018","2018","1000 tonnes","158","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2913","Oilcrops","2018","2018","1000 tonnes","13","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5527","Seed","S2913","Oilcrops","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2913","Oilcrops","2018","2018","1000 tonnes","5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2913","Oilcrops","2018","2018","1000 tonnes","123","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5154","Other uses (non-food)","S2913","Oilcrops","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2913","Oilcrops","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2913","Oilcrops","2018","2018","1000 tonnes","17","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2913","Oilcrops","2018","2018","kg","2.03","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2913","Oilcrops","2018","2018","kcal/capita/day","19","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2913","Oilcrops","2018","2018","million kcal","57879","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2913","Oilcrops","2018","2018","g/capita/day","0.8","E","Estimated value"
